,Zone,Time,Value
0,PNW,1,39.53550992
1,PNW,2,73.58308786
2,PNW,3,61.71123503
3,PNW,4,74.81507259
4,PNW,5,122.5264812
5,PNW,6,166.5419355
6,PNW,7,188.045669
7,PNW,8,256.5888193
8,PNW,9,460.874287
9,PNW,10,512.0576525
10,PNW,11,501.0817886
11,PNW,12,917.2686295
12,PNW,13,1254.160453
13,PNW,14,1843.945142
14,PNW,15,1648.283568
15,PNW,16,1557.340695
16,PNW,17,2028.742852
17,PNW,18,2098.517987
18,PNW,19,2281.859714
19,PNW,20,2285.107674
20,PNW,21,1958.743719
21,PNW,22,1701.258911
22,PNW,23,1488.34955
23,PNW,24,1651.30753
24,PNW,25,1648.171569
25,PNW,26,1710.2188
26,PNW,27,1793.545767
27,PNW,28,1668.891312
28,PNW,29,1357.759169
29,PNW,30,1147.313778
30,PNW,31,1142.497838
31,PNW,32,1026.579275
32,PNW,33,1052.898948
33,PNW,34,913.2366795
34,PNW,35,881.9890668
35,PNW,36,1187.521279
36,PNW,37,1202.417095
37,PNW,38,1169.041509
38,PNW,39,1360.783132
39,PNW,40,1430.446268
40,PNW,41,1398.974658
41,PNW,42,1256.736421
42,PNW,43,1218.992889
43,PNW,44,1162.881585
44,PNW,45,1054.690926
45,PNW,46,799.7820859
46,PNW,47,424.4747382
47,PNW,48,255.5808318
48,PNW,49,204.8454607
49,PNW,50,87.13491987
50,PNW,51,19.37575982
51,PNW,52,0.0
52,PNW,53,0.0
53,PNW,54,0.0
54,PNW,55,0.335995835
55,PNW,56,0.0
56,PNW,57,2.01597501
57,PNW,58,16.79979175
58,PNW,59,25.31168624
59,PNW,60,34.607571
60,PNW,61,37.4075363
61,PNW,62,87.58291432
62,PNW,63,108.7506519
63,PNW,64,156.014066
64,PNW,65,197.4535524
65,PNW,66,172.1418661
66,PNW,67,113.5665922
67,PNW,68,104.3827061
68,PNW,69,107.6306658
69,PNW,70,85.00694625
70,PNW,71,77.72703649
71,PNW,72,67.75916006
72,PNW,73,43.45546133
73,PNW,74,46.81541968
74,PNW,75,24.9756904
75,PNW,76,17.2477862
76,PNW,77,9.519881991
77,PNW,78,5.37593336
78,PNW,79,55.32731416
79,PNW,80,38.75151964
80,PNW,81,51.18336553
81,PNW,82,85.67893792
82,PNW,83,45.24743911
83,PNW,84,15.3438098
84,PNW,85,29.90362931
85,PNW,86,7.839902816
86,PNW,87,12.43184589
87,PNW,88,11.75985422
88,PNW,89,20.1597501
89,PNW,90,26.43167235
90,PNW,91,95.0868213
91,PNW,92,84.89494764
92,PNW,93,184.7977092
93,PNW,94,268.0126777
94,PNW,95,327.7079377
95,PNW,96,253.788854
96,PNW,97,221.3092566
97,PNW,98,255.0208388
98,PNW,99,205.1814566
99,PNW,100,197.9015468
100,PNW,101,198.5735385
101,PNW,102,270.2526499
102,PNW,103,253.6768554
103,PNW,104,319.3080419
104,PNW,105,403.195002
105,PNW,106,502.4257719
106,PNW,107,334.2038572
107,PNW,108,195.4375774
108,PNW,109,128.0144131
109,PNW,110,114.3505825
110,PNW,111,234.74909
111,PNW,112,351.3396448
112,PNW,113,427.1627049
113,PNW,114,372.7313796
114,PNW,115,332.2998808
115,PNW,116,449.6744258
116,PNW,117,512.2816497
117,PNW,118,459.7543009
118,PNW,119,457.5143286
119,PNW,120,385.4992213
120,PNW,121,405.4349742
121,PNW,122,522.025529
122,PNW,123,679.1595811
123,PNW,124,741.766805
124,PNW,125,640.5200601
125,PNW,126,696.7433632
126,PNW,127,724.6310175
127,PNW,128,686.3274923
128,PNW,129,681.1755561
129,PNW,130,602.2165349
130,PNW,131,674.6796367
131,PNW,132,585.3047446
132,PNW,133,460.6502898
133,PNW,134,700.4393173
134,PNW,135,769.4304621
135,PNW,136,830.9176999
136,PNW,137,814.3419054
137,PNW,138,718.0230994
138,PNW,139,602.5525307
139,PNW,140,524.601497
140,PNW,141,373.2913727
141,PNW,142,286.1564528
142,PNW,143,350.1076601
143,PNW,144,290.0764042
144,PNW,145,318.6360502
145,PNW,146,281.7885069
146,PNW,147,305.8682085
147,PNW,148,482.1540232
148,PNW,149,647.9119685
149,PNW,150,336.6678267
150,PNW,151,382.0272644
151,PNW,152,212.1253705
152,PNW,153,474.9861121
153,PNW,154,489.0979371
154,PNW,155,684.8715103
155,PNW,156,579.9288112
156,PNW,157,659.8958199
157,PNW,158,1287.088045
158,PNW,159,948.4042436
159,PNW,160,498.2818233
160,PNW,161,592.2486585
161,PNW,162,482.0420246
162,PNW,163,613.8643905
163,PNW,164,487.417958
164,PNW,165,401.6270214
165,PNW,166,471.7381523
166,PNW,167,345.515717
167,PNW,168,108.4146561
168,PNW,169,117.7105409
169,PNW,170,95.31081853
170,PNW,171,162.6219841
171,PNW,172,138.5422826
172,PNW,173,230.9411372
173,PNW,174,171.8058703
174,PNW,175,207.3094302
175,PNW,176,234.8610887
176,PNW,177,231.7251275
177,PNW,178,208.0934205
178,PNW,179,179.5337745
179,PNW,180,196.4455649
180,PNW,181,167.4379244
181,PNW,182,127.1184242
182,PNW,183,205.2934552
183,PNW,184,275.8525805
184,PNW,185,206.5254399
185,PNW,186,54.43132527
186,PNW,187,27.43965986
187,PNW,188,7.951901428
188,PNW,189,5.263934748
189,PNW,190,0.0
190,PNW,191,0.0
191,PNW,192,1.903976398
192,PNW,193,2.239972233
193,PNW,194,0.67199167
194,PNW,195,0.447994447
195,PNW,196,0.335995835
196,PNW,197,0.67199167
197,PNW,198,0.447994447
198,PNW,199,0.223997223
199,PNW,200,1.119986117
200,PNW,201,0.0
201,PNW,202,0.0
202,PNW,203,0.0
203,PNW,204,0.0
204,PNW,205,0.0
205,PNW,206,0.111998612
206,PNW,207,1.679979175
207,PNW,208,0.447994447
208,PNW,209,1.231984728
209,PNW,210,6.271922253
210,PNW,211,20.83174177
211,PNW,212,29.11963903
212,PNW,213,10.30387227
213,PNW,214,9.855877826
214,PNW,215,23.63170706
215,PNW,216,6.04792503
216,PNW,217,1.455981952
217,PNW,218,0.0
218,PNW,219,0.0
219,PNW,220,0.0
220,PNW,221,0.0
221,PNW,222,0.0
222,PNW,223,0.559993058
223,PNW,224,0.447994447
224,PNW,225,2.127973622
225,PNW,226,13.66383062
226,PNW,227,0.223997223
227,PNW,228,7.055912535
228,PNW,229,2.68796668
229,PNW,230,0.335995835
230,PNW,231,2.351970845
231,PNW,232,17.91977787
232,PNW,233,0.223997223
233,PNW,234,3.695954185
234,PNW,235,3.35995835
235,PNW,236,3.695954185
236,PNW,237,0.0
237,PNW,238,0.0
238,PNW,239,1.119986117
239,PNW,240,3.135961127
240,PNW,241,0.0
241,PNW,242,0.223997223
242,PNW,243,6.383920865
243,PNW,244,5.487931971
244,PNW,245,9.855877826
245,PNW,246,1.791977787
246,PNW,247,6.831915311
247,PNW,248,11.31185978
248,PNW,249,37.18353907
249,PNW,250,22.62371956
250,PNW,251,57.00729334
251,PNW,252,73.24709203
252,PNW,253,76.38305315
253,PNW,254,67.53516283
254,PNW,255,106.1746839
255,PNW,256,145.4861966
256,PNW,257,116.1425603
257,PNW,258,170.7978828
258,PNW,259,208.5414149
259,PNW,260,268.796668
260,PNW,261,331.6278891
261,PNW,262,287.5004361
262,PNW,263,287.2764389
263,PNW,264,362.2035101
264,PNW,265,421.2267785
265,PNW,266,443.850498
266,PNW,267,427.4987007
267,PNW,268,374.635356
268,PNW,269,397.5950714
269,PNW,270,595.832614
270,PNW,271,689.6874506
271,PNW,272,493.3538844
272,PNW,273,451.0184092
273,PNW,274,317.7400613
274,PNW,275,203.613476
275,PNW,276,225.5652039
276,PNW,277,364.2194851
277,PNW,278,386.2832116
278,PNW,279,466.8102134
279,PNW,280,538.4893249
280,PNW,281,337.0038225
281,PNW,282,447.7704494
282,PNW,283,451.2424064
283,PNW,284,407.4509492
284,PNW,285,261.6287568
285,PNW,286,199.4695274
286,PNW,287,127.2304228
287,PNW,288,132.7183548
288,PNW,289,163.1819772
289,PNW,290,184.3497148
