Year,Month,Day,Hour,PGE_bay,PGE_valley,SCE,SDGE
2010,1,1,0,0,0,0,0
2010,1,1,1,0,0,0,0
2010,1,1,2,0,0,0,0
2010,1,1,3,0,0,0,0
2010,1,1,4,0,0,0,0
2010,1,1,5,0,0,0,0
2010,1,1,6,0,0,0,0
2010,1,1,7,0,0,0,0
2010,1,1,8,0,11.94240275,2.375871128,0.863108526
2010,1,1,9,0.257222535,49.83752638,33.50902889,35.87905535
2010,1,1,10,0.771306338,29.75233593,21.86962928,7.892955268
2010,1,1,11,0.514565493,31.00216769,8.576591544,9.813704687
2010,1,1,12,0.724582394,35.41795117,9.213149098,9.797303384
2010,1,1,13,0.549006338,22.99035676,13.52632019,15.68474435
2010,1,1,14,0.758300704,18.89829631,9.820269492,12.00668249
2010,1,1,15,0.593562676,23.97732575,4.928609284,3.066821948
2010,1,1,16,0.340795775,4.825972357,0.934621905,0.968181483
2010,1,1,17,0.009633803,0.047285252,0.003523724,0.001280102
2010,1,1,18,0,0,0,0
2010,1,1,19,0,0,0,0
2010,1,1,20,0,0,0,0
2010,1,1,21,0,0,0,0
2010,1,1,22,0,0,0,0
2010,1,1,23,0,0,0,0
2010,1,2,0,0,0,0,0
2010,1,2,1,0,0,0,0
2010,1,2,2,0,0,0,0
2010,1,2,3,0,0,0,0
2010,1,2,4,0,0,0,0
2010,1,2,5,0,0,0,0
2010,1,2,6,0,0,0,0
2010,1,2,7,0,0,0,0
2010,1,2,8,0,3.716478988,3.88161627,4.781973506
2010,1,2,9,0.301538028,26.19235951,20.5260505,23.6835431
2010,1,2,10,0.749871127,30.30574288,7.676686978,7.863723408
2010,1,2,11,0.834889437,47.56298715,23.57260969,12.54989608
2010,1,2,12,1.057550704,67.95500036,43.08294733,48.67254492
2010,1,2,13,0.980480282,60.9242997,58.29729981,25.17070978
2010,1,2,14,0.83031338,64.43640832,132.0899265,49.22610764
2010,1,2,15,0.674245775,44.06694788,114.9763069,34.42248309
2010,1,2,16,0.497585915,34.47942051,72.68557016,15.24626892
2010,1,2,17,0.012162676,0.285731656,0.011452104,0.00416033
2010,1,2,18,0,0,0,0
2010,1,2,19,0,0,0,0
2010,1,2,20,0,0,0,0
2010,1,2,21,0,0,0,0
2010,1,2,22,0,0,0,0
2010,1,2,23,0,0,0,0
2010,1,3,0,0,0,0,0
2010,1,3,1,0,0,0,0
2010,1,3,2,0,0,0,0
2010,1,3,3,0,0,0,0
2010,1,3,4,0,0,0,0
2010,1,3,5,0,0,0,0
2010,1,3,6,0,0,0,0
2010,1,3,7,0,0,0,0
2010,1,3,8,0,24.58692194,13.99361796,14.85247273
2010,1,3,9,0.067195775,72.48639578,44.65134675,47.63068128
2010,1,3,10,0.369817606,78.61355855,103.171634,46.93079679
2010,1,3,11,0.475307746,78.16064556,164.1924651,51.21115385
2010,1,3,12,0.504329577,81.53181968,146.8407764,53.32501399
2010,1,3,13,0.619573944,79.18576549,130.5786568,50.70716553
2010,1,3,14,0.499512676,77.51428935,127.9165601,47.90317676
2010,1,3,15,0.121988028,65.19461616,133.5351058,41.01715313
2010,1,3,16,0.193759859,38.35600732,92.34579217,23.28103114
2010,1,3,17,0.000120423,1.094280559,0.043895112,0.042616307
2010,1,3,18,0,0,0,0
2010,1,3,19,0,0,0,0
2010,1,3,20,0,0,0,0
2010,1,3,21,0,0,0,0
2010,1,3,22,0,0,0,0
2010,1,3,23,0,0,0,0
2010,1,4,0,0,0,0,0
2010,1,4,1,0,0,0,0
2010,1,4,2,0,0,0,0
2010,1,4,3,0,0,0,0
2010,1,4,4,0,0,0,0
2010,1,4,5,0,0,0,0
2010,1,4,6,0,0,0,0
2010,1,4,7,0,0,0,0
2010,1,4,8,0,25.46639571,15.57533208,16.74534179
2010,1,4,9,0.253369014,78.17613384,48.06896249,51.88976158
2010,1,4,10,0.844282394,89.66925746,58.9567325,46.61970501
2010,1,4,11,0.733614085,96.46761881,67.60189672,49.92438461
2010,1,4,12,1.072964789,98.84979326,61.83464071,53.20647781
2010,1,4,13,0.467600704,91.25912997,105.0207922,51.11748857
2010,1,4,14,0.672198592,84.04774822,72.17891444,38.04955013
2010,1,4,15,0.571766197,66.40558194,81.83766593,26.75332405
2010,1,4,16,0.430630986,42.75399034,13.01623472,12.86672492
2010,1,4,17,0.015173239,1.389623712,0.02023978,0.011162732
2010,1,4,18,0,0,0,0
2010,1,4,19,0,0,0,0
2010,1,4,20,0,0,0,0
2010,1,4,21,0,0,0,0
2010,1,4,22,0,0,0,0
2010,1,4,23,0,0,0,0
2010,1,5,0,0,0,0,0
2010,1,5,1,0,0,0,0
2010,1,5,2,0,0,0,0
2010,1,5,3,0,0,0,0
2010,1,5,4,0,0,0,0
2010,1,5,5,0,0,0,0
2010,1,5,6,0,0,0,0
2010,1,5,7,0,0,0,0
2010,1,5,8,0,7.386219158,0.98926397,0.363190681
2010,1,5,9,0.082369014,37.57165952,9.631541332,9.02727548
2010,1,5,10,0.277212676,41.68638865,26.24698766,13.16532955
2010,1,5,11,0.074782394,51.74497268,35.17412926,38.94140925
2010,1,5,12,0.19809507,38.48471707,21.14414231,23.34420293
2010,1,5,13,0.169314085,19.31962157,13.88101089,15.87074681
2010,1,5,14,0.056959859,9.228925962,8.349901542,9.47227204
2010,1,5,15,0.065389437,20.81615042,5.820866719,4.964495074
2010,1,5,16,0.158235211,17.94364814,3.025015923,2.047622261
2010,1,5,17,0.002288028,2.622523579,0,0
2010,1,5,18,0,0,0,0
2010,1,5,19,0,0,0,0
2010,1,5,20,0,0,0,0
2010,1,5,21,0,0,0,0
2010,1,5,22,0,0,0,0
2010,1,5,23,0,0,0,0
2010,1,6,0,0,0,0,0
2010,1,6,1,0,0,0,0
2010,1,6,2,0,0,0,0
2010,1,6,3,0,0,0,0
2010,1,6,4,0,0,0,0
2010,1,6,5,0,0,0,0
2010,1,6,6,0,0,0,0
2010,1,6,7,0,21.49037169,9.664006651,10.14778167
2010,1,6,8,0.236028169,72.14521248,36.45667162,38.49293056
2010,1,6,9,0.844161972,82.71372367,97.40885162,44.56394918
2010,1,6,10,0.667261268,81.32769166,167.1164184,51.07135568
2010,1,6,11,0.374634507,87.60230397,143.1922969,53.69245362
