day,PNW
1,6.98
2,6.98
3,6.98
4,6.98
5,6.98
6,6.98
7,6.98
8,6.98
9,6.98
10,6.98
11,6.98
12,6.98
13,6.98
14,6.98
15,6.98
16,6.98
17,6.98
18,6.98
19,6.98
20,6.98
21,6.98
22,6.98
23,6.98
24,6.98
25,6.98
26,6.98
27,6.98
28,6.98
29,6.98
30,6.98
31,6.98
32,6.27
33,6.27
34,6.27
35,6.27
36,6.27
37,6.27
38,6.27
39,6.27
40,6.27
41,6.27
42,6.27
43,6.27
44,6.27
45,6.27
46,6.27
47,6.27
48,6.27
49,6.27
50,6.27
51,6.27
52,6.27
53,6.27
54,6.27
55,6.27
56,6.27
57,6.27
58,6.27
59,6.27
60,5.47
61,5.47
62,5.47
63,5.47
64,5.47
65,5.47
66,5.47
67,5.47
68,5.47
69,5.47
70,5.47
71,5.47
72,5.47
73,5.47
74,5.47
75,5.47
76,5.47
77,5.47
78,5.47
79,5.47
80,5.47
81,5.47
82,5.47
83,5.47
84,5.47
85,5.47
86,5.47
87,5.47
88,5.47
89,5.47
90,5.47
91,4.91
92,4.91
93,4.91
94,4.91
95,4.91
96,4.91
97,4.91
98,4.91
99,4.91
100,4.91
101,4.91
102,4.91
103,4.91
104,4.91
105,4.91
106,4.91
107,4.91
108,4.91
109,4.91
110,4.91
111,4.91
112,4.91
113,4.91
114,4.91
115,4.91
116,4.91
117,4.91
118,4.91
119,4.91
120,4.91
121,4.96
122,4.96
123,4.96
124,4.96
125,4.96
126,4.96
127,4.96
128,4.96
129,4.96
130,4.96
131,4.96
132,4.96
133,4.96
134,4.96
135,4.96
136,4.96
137,4.96
138,4.96
139,4.96
140,4.96
141,4.96
142,4.96
143,4.96
144,4.96
145,4.96
146,4.96
147,4.96
148,4.96
149,4.96
150,4.96
151,4.96
152,5.31
153,5.31
154,5.31
155,5.31
156,5.31
157,5.31
158,5.31
159,5.31
160,5.31
161,5.31
162,5.31
163,5.31
164,5.31
165,5.31
166,5.31
167,5.31
168,5.31
169,5.31
170,5.31
171,5.31
172,5.31
173,5.31
174,5.31
175,5.31
176,5.31
177,5.31
178,5.31
179,5.31
180,5.31
181,5.31
182,5.34
183,5.34
184,5.34
185,5.34
186,5.34
187,5.34
188,5.34
189,5.34
190,5.34
191,5.34
192,5.34
193,5.34
194,5.34
195,5.34
196,5.34
197,5.34
198,5.34
199,5.34
200,5.34
201,5.34
202,5.34
203,5.34
204,5.34
205,5.34
206,5.34
207,5.34
208,5.34
209,5.34
210,5.34
211,5.34
212,5.34
213,5.06
214,5.06
215,5.06
216,5.06
217,5.06
218,5.06
219,5.06
220,5.06
221,5.06
222,5.06
223,5.06
224,5.06
225,5.06
226,5.06
227,5.06
228,5.06
229,5.06
230,5.06
231,5.06
232,5.06
233,5.06
234,5.06
235,5.06
236,5.06
237,5.06
238,5.06
239,5.06
240,5.06
241,5.06
242,5.06
243,5.06
244,4.61
245,4.61
246,4.61
247,4.61
248,4.61
249,4.61
250,4.61
251,4.61
252,4.61
253,4.61
254,4.61
255,4.61
256,4.61
257,4.61
258,4.61
259,4.61
260,4.61
261,4.61
262,4.61
263,4.61
264,4.61
265,4.61
266,4.61
267,4.61
268,4.61
269,4.61
270,4.61
271,4.61
272,4.61
273,4.61
274,4.45
275,4.45
276,4.45
277,4.45
278,4.45
279,4.45
280,4.45
281,4.45
282,4.45
283,4.45
284,4.45
285,4.45
286,4.45
287,4.45
288,4.45
289,4.45
290,4.45
291,4.45
292,4.45
293,4.45
294,4.45
295,4.45
296,4.45
297,4.45
298,4.45
299,4.45
300,4.45
301,4.45
302,4.45
303,4.45
304,4.45
305,4.55
306,4.55
307,4.55
308,4.55
309,4.55
310,4.55
311,4.55
312,4.55
313,4.55
314,4.55
315,4.55
316,4.55
317,4.55
318,4.55
319,4.55
320,4.55
321,4.55
322,4.55
323,4.55
324,4.55
325,4.55
326,4.55
327,4.55
328,4.55
329,4.55
330,4.55
331,4.55
332,4.55
333,4.55
334,4.55
335,5.68
336,5.68
337,5.68
338,5.68
339,5.68
340,5.68
341,5.68
342,5.68
343,5.68
344,5.68
345,5.68
346,5.68
347,5.68
348,5.68
349,5.68
350,5.68
351,5.68
352,5.68
353,5.68
354,5.68
355,5.68
356,5.68
357,5.68
358,5.68
359,5.68
360,5.68
361,5.68
362,5.68
363,5.68
364,5.68
365,5.68
