Oregon Price of Natural Gas Sold to Commercial Consumers Monthly
https://www.eia.gov/opendata/qb.php?sdid=NG.N3020OR3.M
15:41:49 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: NG.N3020OR3.M Dollars per Thousand Cubic Feet
Mar 2018,8.29
Feb 2018,8.14
Jan 2018,9.03
Dec 2017,8.41
Nov 2017,8.7
Oct 2017,8.98
Sep 2017,9.99
Aug 2017,10.6
Jul 2017,10.2
Jun 2017,10.35
May 2017,9.51
Apr 2017,9.18
Mar 2017,9.03
Feb 2017,8.57
Jan 2017,8.22
Dec 2016,7.88
Nov 2016,9.24
Oct 2016,9.24
Sep 2016,9.93
Aug 2016,10.74
Jul 2016,11.13
Jun 2016,11.3
May 2016,10.79
Apr 2016,10.02
Mar 2016,9.51
Feb 2016,9.38
Jan 2016,8.74
Dec 2015,9.43
Nov 2015,8.7
Oct 2015,10.56
Sep 2015,10.5
Aug 2015,11.53
Jul 2015,11.15
Jun 2015,11.35
May 2015,11.17
Apr 2015,10.07
Mar 2015,10.82
Feb 2015,10.52
Jan 2015,10.14
Dec 2014,10.05
Nov 2014,9.43
Oct 2014,9.87
Sep 2014,9.79
Aug 2014,9.77
Jul 2014,10
Jun 2014,10.02
May 2014,9.88
Apr 2014,9.56
Mar 2014,9.44
Feb 2014,8.63
Jan 2014,8.94
Dec 2013,8.89
Nov 2013,8.33
Oct 2013,8.48
Sep 2013,9.05
Aug 2013,9.45
Jul 2013,9.05
Jun 2013,8.97
May 2013,8.78
Apr 2013,8.73
Mar 2013,8.79
Feb 2013,8.43
Jan 2013,8.03
Dec 2012,8.34
Nov 2012,8.34
Oct 2012,9.22
Sep 2012,9.67
Aug 2012,9.44
Jul 2012,8.65
Jun 2012,8.82
May 2012,8.96
Apr 2012,8.54
Mar 2012,8.85
Feb 2012,9.26
Jan 2012,9.38
Dec 2011,9.27
Nov 2011,9.44
Oct 2011,9.95
Sep 2011,10.48
Aug 2011,10.44
Jul 2011,9.9
Jun 2011,9.69
May 2011,9.72
Apr 2011,9.73
Mar 2011,9.36
Feb 2011,9.27
Jan 2011,9.8
Dec 2010,9.9
Nov 2010,9.85
Oct 2010,10.3
Sep 2010,10.29
Aug 2010,10.53
Jul 2010,10.29
Jun 2010,10.07
May 2010,9.98
Apr 2010,9.81
Mar 2010,10.25
Feb 2010,10.39
Jan 2010,10.07
Dec 2009,9.68
Nov 2009,11.07
Oct 2009,12.61
Sep 2009,12.86
Aug 2009,12.7
Jul 2009,12.53
Jun 2009,13.75
May 2009,12.55
Apr 2009,12.55
Mar 2009,12.2
Feb 2009,11.92
Jan 2009,11.99
Dec 2008,12.62
Nov 2008,11.86
Oct 2008,11.57
Sep 2008,11.61
Aug 2008,11.89
Jul 2008,11.58
Jun 2008,9.48
May 2008,11.32
Apr 2008,11.21
Mar 2008,11.56
Feb 2008,11.35
Jan 2008,11.78
Dec 2007,11.52
Nov 2007,12.03
Oct 2007,12.7
Sep 2007,13.04
Aug 2007,12.91
Jul 2007,12.76
Jun 2007,12.61
May 2007,11.58
Apr 2007,12.72
Mar 2007,12.73
Feb 2007,12.52
Jan 2007,12.42
Dec 2006,13.35
Nov 2006,13.28
Oct 2006,13.12
