Washington Price of Natural Gas Sold to Commercial Consumers
https://www.eia.gov/dnav/ng/hist/n3020wa3m.htm
15:42:02 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Washington Price of Natural Gas Sold to Commercial Consumers Dollars per Thousand Cubic Feet
Mar 2018,7.93
Feb 2018,8.19
Jan 2018,8.29
Dec 2017,7.87
Nov 2017,8.08
Oct 2017,8.28
Sep 2017,9.07
Aug 2017,9.78
Jul 2017,9.4
Jun 2017,
May 2017,
Apr 2017,8.2
Mar 2017,8.15
Feb 2017,8.16
Jan 2017,7.96
Dec 2016,8.14
Nov 2016,8.6
Oct 2016,8.78
Sep 2016,9.45
Aug 2016,9.87
Jul 2016,9.37
Jun 2016,9.64
May 2016,8.09
Apr 2016,7.99
Mar 2016,8.03
Feb 2016,8.63
Jan 2016,8.08
Dec 2015,8.09
Nov 2015,8.34
Oct 2015,10.29
Sep 2015,10.55
Aug 2015,11.44
Jul 2015,11.4
Jun 2015,11.06
May 2015,10.65
Apr 2015,10.16
Mar 2015,10.13
Feb 2015,10.15
Jan 2015,10.12
Dec 2014,9.28
Nov 2014,9.27
Oct 2014,8.95
Sep 2014,9.13
Aug 2014,9.23
Jul 2014,9.17
Jun 2014,8.95
May 2014,8.85
Apr 2014,8.66
Mar 2014,8.71
Feb 2014,9.09
Jan 2014,9.09
Dec 2013,8.84
Nov 2013,9.14
Oct 2013,9.01
Sep 2013,9.66
Aug 2013,12.1
Jul 2013,9.43
Jun 2013,9.61
May 2013,10.65
Apr 2013,8.33
Mar 2013,8.96
Feb 2013,8.79
Jan 2013,8.69
Dec 2012,8.88
Nov 2012,9.55
Oct 2012,10.23
Sep 2012,11.16
Aug 2012,10.86
Jul 2012,10.78
Jun 2012,10.4
May 2012,10.11
Apr 2012,9.9
Mar 2012,9.63
Feb 2012,9.65
Jan 2012,9.56
Dec 2011,9.62
Nov 2011,10.11
Oct 2011,10.74
Sep 2011,11.63
Aug 2011,11.68
Jul 2011,11.63
Jun 2011,11.07
May 2011,10.81
Apr 2011,10.42
Mar 2011,10.38
Feb 2011,9.91
Jan 2011,10.25
Dec 2010,10.13
Nov 2010,10.08
Oct 2010,10.93
Sep 2010,11.36
Aug 2010,11.66
Jul 2010,11.51
Jun 2010,10.95
May 2010,10.57
Apr 2010,10.42
Mar 2010,10.36
Feb 2010,10.27
Jan 2010,10.19
Dec 2009,10.06
Nov 2009,10.24
Oct 2009,11.75
Sep 2009,13.33
Aug 2009,13.64
Jul 2009,13.87
Jun 2009,13.41
May 2009,13
Apr 2009,13.13
Mar 2009,12.58
Feb 2009,12.8
Jan 2009,12.85
Dec 2008,12.82
Nov 2008,12.77
Oct 2008,11.29
Sep 2008,11.31
Aug 2008,11.69
Jul 2008,11.6
Jun 2008,11.37
May 2008,11.2
Apr 2008,10.76
Mar 2008,11.09
Feb 2008,11.08
Jan 2008,11.03
Dec 2007,11.04
Nov 2007,11.03
Oct 2007,12.38
Sep 2007,13.05
Aug 2007,13.17
Jul 2007,13.35
Jun 2007,13.2
May 2007,12.73
Apr 2007,12.86
Mar 2007,12.79
Feb 2007,12.79
Jan 2007,12.54
Dec 2006,12.49
Nov 2006,12.46
Oct 2006,12.28
Sep 2006,12.24
Aug 2006,12.27
Jul 2006,12.31
Jun 2006,11.77
May 2006,11.56
Apr 2006,11.81
Mar 2006,11.43
Feb 2006,11.73
Jan 2006,11.78
Dec 2005,11.83
Nov 2005,11.61
Oct 2005,10.71
Sep 2005,10.38
Aug 2005,10.43
Jul 2005,10.39
Jun 2005,10.17
May 2005,10.03
Apr 2005,9.91
Mar 2005,9.71
Feb 2005,9.85
Jan 2005,9.74
Dec 2004,10.25
Nov 2004,10.4
Oct 2004,9.84
Sep 2004,9.48
Aug 2004,9.47
Jul 2004,9.33
Jun 2004,9.12
May 2004,9.07
Apr 2004,8.92
Mar 2004,8.85
Feb 2004,9.02
Jan 2004,9.04
Dec 2003,8.22
Nov 2003,8.4
Oct 2003,8.09
Sep 2003,7.85
Aug 2003,8.07
Jul 2003,7.9
Jun 2003,7.64
May 2003,7.42
Apr 2003,6.73
Mar 2003,6.7
Feb 2003,6.71
Jan 2003,6.69
Dec 2002,6.66
Nov 2002,7.23
Oct 2002,7.74
Sep 2002,8.03
Aug 2002,7.97
Jul 2002,7.86
Jun 2002,8.28
May 2002,8.73
Apr 2002,8.71
Mar 2002,8.84
Feb 2002,8.8
Jan 2002,8.79
Dec 2001,8.57
Nov 2001,8.5
Oct 2001,8.48
Sep 2001,8.75
Aug 2001,9.24
Jul 2001,9.18
Jun 2001,9.19
May 2001,9.05
Apr 2001,9.05
Mar 2001,9.06
Feb 2001,8.73
Jan 2001,7.34
Dec 2000,7.09
Nov 2000,7.11
Oct 2000,7.11
Sep 2000,7.07
Aug 2000,6.18
Jul 2000,5.59
Jun 2000,5.38
May 2000,5.35
Apr 2000,5.32
Mar 2000,5.41
Feb 2000,5.41
Jan 2000,5.83
Dec 1999,4.85
Nov 1999,5.1
Oct 1999,4.35
Sep 1999,5.25
Aug 1999,5.97
Jul 1999,5.12
Jun 1999,5.43
May 1999,5.04
Apr 1999,4.91
Mar 1999,4.84
Feb 1999,4.74
Jan 1999,4.64
Dec 1998,4.68
Nov 1998,5.32
Oct 1998,4.77
Sep 1998,4.85
Aug 1998,4.91
Jul 1998,4.9
Jun 1998,4.82
May 1998,4.73
Apr 1998,4.68
Mar 1998,4.68
Feb 1998,4.67
Jan 1998,4.65
Dec 1997,4.78
Nov 1997,4.81
Oct 1997,4.87
Sep 1997,4.9
Aug 1997,5.29
Jul 1997,4.93
Jun 1997,4.63
May 1997,4.8
Apr 1997,4.19
Mar 1997,4.68
Feb 1997,4.69
Jan 1997,4.62
Dec 1996,4.76
Nov 1996,4.79
Oct 1996,4.88
Sep 1996,5.03
Aug 1996,5.1
Jul 1996,5.16
