name,typ,fuel,class,zone,netcap (nameplate),seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,avg heat rate,,,year online
RATHDRUM_1,GT,ng,ct,PNW,83.2,8.569111935,8.634136697,8.699161459,29.12,83.2,1,1,3.17,35.05532659,5824,10.48,,,1994
RATHDRUM_2,GT,ng,ct,PNW,83.2,8.569111935,8.634136697,8.699161459,29.12,83.2,1,1,3.17,35.05532659,5824,10.48,,,1994
RATHDRUMPWR_CTG1,CT,ng,cc,PNW,179.4,5.691681446,5.952627186,6.213572926,71.76,179.4,2,2,2,82.45926889,12558,7.08,,,2001
RATHDRUMPWR_STG1,CA,ng,cc,PNW,122.1,5.691681446,5.952627186,6.213572926,48.84,122.1,2,2,2,56.12194388,8547,7.08,,,2001
RUPERT_1002,CS,ng,cc,PNW,10.4,9.271681446,9.532627186,9.793572926,4.16,10.4,2,2,2,4.780247472,728,10.66,,,1996
ALDEN BAILEY_LOKI,GT,ng,ct,PNW,10.9,5.689111935,5.754136697,5.819161459,3.815,10.9,1,1,3.17,4.592584854,763,7.6,7.6?,,2001
BEAVER_1,CT,ng,cc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781,15.39,,,1974
BEAVER_2,CT,ng,cc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781,15.39,,,1974
BEAVER_3,CT,ng,cc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781,15.39,,,1974
BEAVER_4,CT,ng,cc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781,15.39,,,1974
BEAVER_5,CT,ng,cc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781,15.39,,,1974
BEAVER_6,CT,ng,cc,PNW,68.3,14.00168145,14.26262719,14.52357293,27.32,68.3,5,5,2,31.39335599,4781,15.39,,,1974
BEAVER_7,CA,ng,cc,PNW,176.4,14.00168145,14.26262719,14.52357293,70.56,176.4,5,5,2,81.08035135,12348,15.39,,,1977
BEAVER_8,GT,ng,ct,PNW,24.5,13.47911193,13.5441367,13.60916146,8.575,24.5,1,1,3.17,10.32278247,1715,15.39,,,2001
BOARDMAN_1,ST,coal,coal,PNW,642.2,8.359199203,8.974120465,9.589041727,224.77,481.65,10,10,4.6,88.5524314,44954,10.1,,,1980
COYOTE SPRINGS 1_GEN 1,CT,ng,cc,PNW,185.7,12.70168145,12.96262719,13.22357293,74.28,185.7,3,3,2,85.35499573,12999,14.09,,,1995
COYOTE SPRINGS 1_GEN 2,CA,ng,cc,PNW,80.6,12.70168145,12.96262719,13.22357293,32.24,80.6,3,3,2,37.04691791,5642,14.09,,,1995
COYOTE SPRINGS 2_GEN 1,CT,ng,cc,PNW,170,5.561681446,5.822627186,6.083572926,68,170,2,2,2,78.1386606,11900,6.95,,,2003
COYOTE SPRINGS 2_GEN 2,CA,ng,cc,PNW,117,5.561681446,5.822627186,6.083572926,46.8,117,2,2,2,53.77778406,8190,6.95,,,2003
