,PNW
0,5699.683106
1,5699.683106
2,5699.683106
3,5699.683106
4,5699.683106
5,5699.683106
6,5699.683106
7,5699.683106
8,5699.683106
9,5699.683106
10,5699.683106
11,5699.683106
12,5699.683106
13,5699.683106
14,5699.683106
15,5699.683106
16,5699.683106
17,5699.683106
18,5699.683106
19,5699.683106
20,5699.683106
21,5699.683106
22,5699.683106
23,5699.683106
24,5699.683106
25,5699.683106
26,5699.683106
27,5699.683106
28,5699.683106
29,5699.683106
30,5699.683106
31,5699.683106
32,5699.683106
33,5699.683106
34,5699.683106
35,5699.683106
36,5699.683106
37,5699.683106
38,5699.683106
39,5699.683106
40,5699.683106
41,5699.683106
42,5699.683106
43,5699.683106
44,5699.683106
45,5699.683106
46,5699.683106
47,5699.683106
48,5699.683106
49,5699.683106
50,5699.683106
51,5699.683106
52,5699.683106
53,5699.683106
54,5699.683106
55,5699.683106
56,5699.683106
57,5699.683106
58,5699.683106
59,5699.683106
60,5699.683106
61,5699.683106
62,5699.683106
63,5699.683106
64,5699.683106
65,5699.683106
66,5699.683106
67,5699.683106
68,5699.683106
69,5699.683106
70,5699.683106
71,5699.683106
72,5699.683106
73,5699.683106
74,5699.683106
75,5699.683106
76,5699.683106
77,5699.683106
78,5699.683106
79,5699.683106
80,5699.683106
81,5699.683106
82,5699.683106
83,5699.683106
84,5699.683106
85,5699.683106
86,5699.683106
87,5699.683106
88,5699.683106
89,5699.683106
90,5699.683106
91,5699.683106
92,5699.683106
93,5699.683106
94,5699.683106
95,5699.683106
96,5699.683106
97,5699.683106
98,5699.683106
99,5699.683106
100,5699.683106
101,5699.683106
102,5699.683106
103,5699.683106
104,5699.683106
105,5699.683106
106,5699.683106
107,5699.683106
108,5699.683106
109,5699.683106
110,5699.683106
111,5699.683106
112,5699.683106
113,5699.683106
114,5699.683106
115,5699.683106
116,5699.683106
117,5699.683106
118,5699.683106
119,5699.683106
120,5699.683106
121,5699.683106
122,5699.683106
123,5699.683106
124,5699.683106
125,5699.683106
126,5699.683106
127,5699.683106
128,5699.683106
129,5699.683106
130,5699.683106
131,5699.683106
132,5699.683106
133,5699.683106
134,5699.683106
135,5699.683106
136,5699.683106
137,5699.683106
138,5699.683106
139,5699.683106
140,5699.683106
141,5699.683106
142,5699.683106
143,5699.683106
144,5699.683106
145,5699.683106
146,5699.683106
147,5699.683106
148,5699.683106
149,5699.683106
150,5699.683106
151,5699.683106
152,5699.683106
153,5699.683106
154,5699.683106
155,5699.683106
156,5699.683106
157,5699.683106
158,5699.683106
159,5699.683106
160,5699.683106
161,5699.683106
162,5699.683106
163,5699.683106
164,5699.683106
165,5699.683106
166,5699.683106
167,5699.683106
168,5699.683106
169,5699.683106
170,5699.683106
171,5699.683106
172,5699.683106
173,5699.683106
174,5699.683106
175,5699.683106
176,5699.683106
177,5699.683106
178,5699.683106
179,5699.683106
180,5699.683106
181,5699.683106
182,5699.683106
183,5699.683106
184,5699.683106
185,5699.683106
186,5699.683106
187,5699.683106
188,5699.683106
189,5699.683106
190,5699.683106
191,5699.683106
192,5699.683106
193,5699.683106
194,5699.683106
195,5699.683106
196,5699.683106
197,5699.683106
198,5699.683106
199,5699.683106
200,5699.683106
201,5699.683106
202,5699.683106
203,5699.683106
204,5699.683106
205,5699.683106
206,5699.683106
207,5699.683106
208,5699.683106
209,5699.683106
210,5699.683106
211,5699.683106
212,5699.683106
213,5699.683106
214,5699.683106
215,5699.683106
216,5699.683106
217,5699.683106
218,5699.683106
219,5699.683106
220,5699.683106
221,5699.683106
222,5699.683106
223,5699.683106
224,5699.683106
225,5699.683106
226,5699.683106
227,5699.683106
228,5699.683106
229,5699.683106
230,5699.683106
231,5699.683106
232,5699.683106
233,5699.683106
234,5699.683106
235,5699.683106
236,5699.683106
237,5699.683106
238,5699.683106
239,5699.683106
240,5699.683106
241,5699.683106
242,5699.683106
243,5699.683106
244,5699.683106
245,5699.683106
246,5699.683106
247,5699.683106
248,5699.683106
249,5699.683106
250,5699.683106
251,5699.683106
252,5699.683106
253,5699.683106
254,5699.683106
255,5699.683106
256,5699.683106
257,5699.683106
258,5699.683106
259,5699.683106
260,5699.683106
261,5699.683106
262,5699.683106
263,5699.683106
264,5699.683106
265,5699.683106
266,5699.683106
267,5699.683106
268,5699.683106
269,5699.683106
270,5699.683106
271,5699.683106
272,5699.683106
273,5699.683106
274,5699.683106
275,5699.683106
276,5699.683106
277,5699.683106
278,5699.683106
279,5699.683106
280,5699.683106
281,5699.683106
282,5699.683106
283,5699.683106
284,5699.683106
285,5699.683106
286,5699.683106
287,5699.683106
288,5699.683106
289,5699.683106
290,5699.683106
291,5699.683106
292,5699.683106
293,5699.683106
294,5699.683106
295,5699.683106
296,5699.683106
297,5699.683106
298,5699.683106
299,5699.683106
300,5699.683106
301,5699.683106
302,5699.683106
303,5699.683106
304,5699.683106
305,5699.683106
306,5699.683106
307,5699.683106
308,5699.683106
309,5699.683106
310,5699.683106
311,5699.683106
312,5699.683106
313,5699.683106
314,5699.683106
315,5699.683106
316,5699.683106
317,5699.683106
318,5699.683106
319,5699.683106
320,5699.683106
321,5699.683106
322,5699.683106
323,5699.683106
324,5699.683106
325,5699.683106
326,5699.683106
327,5699.683106
328,5699.683106
329,5699.683106
330,5699.683106
331,5699.683106
332,5699.683106
333,5699.683106
334,5699.683106
335,5699.683106
336,5699.683106
337,5699.683106
338,5699.683106
339,5699.683106
340,5699.683106
341,5699.683106
342,5699.683106
343,5699.683106
344,5699.683106
345,5699.683106
346,5699.683106
347,5699.683106
348,5699.683106
349,5699.683106
350,5699.683106
351,5699.683106
352,5699.683106
353,5699.683106
354,5699.683106
355,5699.683106
356,5699.683106
357,5699.683106
358,5699.683106
359,5699.683106
360,5699.683106
361,5699.683106
362,5699.683106
363,5699.683106
364,5699.683106
365,5699.683106
366,5699.683106
367,5699.683106
368,5699.683106
369,5699.683106
370,5699.683106
371,5699.683106
372,5699.683106
373,5699.683106
374,5699.683106
375,5699.683106
376,5699.683106
377,5699.683106
378,5699.683106
379,5699.683106
380,5699.683106
