,PNW
0,78452.15114
1,84636.15521
2,90485.76571
3,145108.012
4,133883.2299
5,147408.8143
6,177676.0044
7,168024.5904
8,128455.6378
9,114755.6806
10,149712.8261
11,139715.2705
12,111489.0138
13,115900.7885
14,100472.3702
15,96870.32248
16,75922.29488
17,87130.23094
18,91073.73499
19,125221.8852
20,112899.818
21,114708.0285
22,72411.49797
23,111431.5602
24,150086.3501
25,145995.4358
26,134264.2108
27,125982.4177
28,115978.6635
29,91290.1212
30,61045.11666
31,131303.8522
32,113019.8887
33,113062.3762
34,95561.97612
35,86694.34859
36,74073.15424
37,65863.33385
38,123450.0913
39,146860.2862
40,139772.9215
41,110038.523
42,97353.50202
43,79312.33708
44,72130.61434
45,103672.5212
46,106507.5932
47,130190.3383
48,131055.7431
49,129560.1209
50,98656.53728
51,107928.4321
52,141733.2878
53,140836.0009
54,92670.38079
55,93073.94419
56,102805.5827
57,84522.88901
58,75532.98894
59,106458.4303
60,107217.8053
61,121767.7401
62,104260.219
63,107409.8764
64,85697.9932
65,60964.93822
66,98798.78734
67,142875.1417
68,122250.462
69,125334.6641
70,110971.1288
71,83560.16036
72,90511.73376
73,107166.7076
74,100736.6546
75,87167.41643
76,106903.2723
77,106051.0166
78,69803.53597
79,54376.86535
80,89519.93093
81,118035.2558
82,108460.5226
83,94431.45986
84,85042.30836
85,87933.64359
86,88357.0112
87,109181.0356
88,115311.2723
89,110611.0137
90,102694.5865
91,111778.3938
92,86102.43111
93,62739.57548
94,106184.6273
95,81148.26005
96,87477.97671
97,67541.62594
98,71628.58333
99,45520.07879
100,30285.69392
101,67292.80517
102,55997.95794
103,66823.39746
104,66925.91387
105,52618.03282
106,44149.82622
107,60714.50301
108,93144.31479
109,115443.7418
110,124653.0734
111,133734.2385
112,156641.7958
113,109609.4577
114,127848.3391
115,154354.9424
116,138021.6192
117,120716.0935
118,125821.432
119,113826.8869
120,129017.0187
121,114299.4341
122,149195.6067
123,164564.0841
124,157503.9467
125,139889.7152
126,149246.6773
127,133441.2655
128,115278.0724
129,164345.6587
130,160799.2577
131,170918.8148
132,175340.8251
133,162014.4906
134,125779.5319
135,135598.7386
136,177529.1173
137,162052.9575
138,204331.8467
139,208788.8276
140,232981.159
141,181348.6224
142,179510.7176
143,215004.6493
144,208500.4571
145,185695.5026
146,190329.8682
147,157950.9506
148,143278.0398
149,159322.5069
150,156107.4358
151,222881.0692
152,223386.83
153,238512.0554
