,PNW
0,152863.8185
1,167621.603
2,213123.8266
3,201076.4912
4,163788.6818
5,144272.975
6,126570.7831
7,102914.9688
8,107917.0526
9,170632.6338
10,200669.0945
11,204691.2744
12,166183.8443
13,139830.4523
14,144294.8411
15,95505.05342
16,163019.8242
17,247390.2371
18,270527.4331
19,278893.6765
20,294369.4943
21,285747.4652
22,278719.6429
23,303077.8984
24,305577.3703
25,320262.1551
26,314436.3354
27,290483.8779
28,282093.5572
29,246338.7245
30,284289.8928
31,280361.4583
32,260839.2939
33,242954.9392
34,211093.1279
35,188279.7755
36,185781.654
37,220732.315
38,281118.8559
39,308029.113
40,307161.5923
41,300239.3794
42,255831.1848
43,250099.2704
44,262080.4881
45,274677.6586
46,254476.8083
47,262187.4571
48,254190.7163
49,247590.9363
50,243891.2497
51,250292.8699
52,244529.469
53,258064.6156
54,251758.4367
55,253772.9829
56,242628.6188
57,248310.3364
58,257630.8814
59,267426.2845
60,267114.2452
61,267853.3093
62,276316.5042
63,237979.8373
64,247469.1373
65,263613.7961
66,258748.9761
67,278879.2318
68,266535.9228
69,288852.5722
70,295206.8256
71,251352.038
72,278753.5646
73,268032.6645
74,248969.6163
75,258525.6706
76,264713.0753
77,245306.4545
78,230976.0585
79,262508.8148
80,285770.2601
81,308114.5046
82,299547.6851
83,305187.7276
84,281403.9232
85,269242.1725
86,273159.4785
87,301269.8953
88,298521.4202
89,298907.2995
90,305823.3452
91,288092.0416
92,282580.4302
93,294981.678
94,303022.1553
95,298070.8354
96,303607.8404
97,305863.1437
98,287043.3116
99,288814.1245
100,283957.1674
101,296793.0169
102,279469.3863
103,270334.8595
104,281436.3251
105,226848.6822
106,243042.05
107,253676.7904
108,267814.9921
109,275055.4356
110,277689.1786
111,283393.7858
112,266838.2872
113,252018.0278
114,261017.1852
115,253154.6515
116,249745.8161
117,256440.594
118,244205.2664
119,233526.8023
120,253465.0443
121,234536.3022
122,219503.0445
123,237728.0072
124,227866.4253
125,236513.0842
126,221554.9687
127,226394.9792
128,249845.0908
129,261223.8078
130,260518.6218
131,268893.0212
132,275943.2961
133,263866.8412
134,261482.5927
135,267392.276
136,285652.5261
137,288576.3581
138,287048.645
139,282527.5475
140,276431.6185
141,287335.3848
142,281586.1863
143,272489.5288
144,274744.526
145,270782.2875
146,271611.1693
147,270458.6839
148,260260.0909
149,267190.1522
150,267369.0656
151,273583.5263
152,284657.8021
153,295672.9232
154,289831.9958
155,289941.6711
156,282682.1867
157,278841.7344
158,278522.1944
159,284380.5678
160,289066.8883
161,276677.2123
162,269719.3532
163,271925.6901
164,279710.0886
165,279970.2093
166,285020.074
167,294320.9631
168,279622.7972
169,282733.6344
170,299564.9841
171,306727.3825
172,309487.3682
173,300460.5286
174,310986.5868
175,318142.1793
176,320615.2529
177,319202.8857
178,320728.992
179,319515.209
180,323062.5583
181,339308.6173
182,343710.1398
183,329285.6342
184,336522.5234
185,332605.7674
186,329702.6849
187,321164.6291
188,334239.7689
189,329557.6052
190,319719.9099
191,298958.8115
192,288824.1541
193,284020.4589
194,294377.5095
195,307282.9599
196,288124.4077
197,289763.3511
198,294813.9945
199,277865.01
200,278228.3431
201,275564.153
202,283836.8311
203,286056.1292
204,282909.077
205,259711.1652
206,258779.5655
207,261220.7037
208,267787.1801
209,255068.425
210,240463.8026
211,240072.6
212,228361.7021
213,211081.2347
214,227922.9593
215,222350.9233
216,212344.6103
217,207014.3545
218,208160.7057
219,217349.3078
220,217955.0784
221,227169.8981
222,230181.839
223,227236.7116
224,193598.6077
225,189660.3982
226,211022.716
227,220667.3092
228,215168.5265
229,214604.2553
230,213019.2087
231,196136.865
232,195618.4295
233,192827.0234
234,205640.4473
235,200719.6999
236,203003.0083
237,207673.4993
238,192722.71
239,176307.3091
240,168573.7186
241,173634.2346
242,183023.1224
243,184159.3321
244,162958.8432
245,136410.1459
246,130349.5478
247,135621.2499
248,181261.1881
249,178637.0272
250,173323.3209
251,180811.6735
252,156605.3492
253,143026.5683
254,157439.4637
255,149205.0093
256,150941.8915
257,137727.4053
258,140528.3588
259,139689.0727
260,107120.5243
261,133520.0826
262,141025.3783
263,149396.621
264,135004.175
265,155095.6784
266,117021.8256
267,89076.76749
268,158302.6945
269,126532.5732
270,135746.2724
271,144957.7375
272,144870.4495
273,96741.0534
274,105469.7125
275,134965.9548
276,124125.1758
277,126293.8529
278,129778.7092
279,120231.5048
280,133549.2799
281,121746.1383
282,151539.9554
283,130269.6201
284,150191.8001
285,158823.9112
286,156082.7533
287,127828.9461
288,121041.0715
289,168804.9277
290,159340.3535
291,124896.8365
292,133057.9815
293,128986.29
294,98194.62572
295,97190.59373
296,136729.9682
297,154106.7359
298,139571.5981
299,143460.3652
300,139689.1228
301,107149.1229
302,84914.58974
303,120981.3462
304,155872.4759
305,144267.4899
306,133267.1401
307,124895.3159
308,144900.1329
309,135197.8449
310,147536.2624
311,152270.5136
312,148542.4466
313,143744.2115
314,139901.7459
315,122754.6995
316,118111.4794
317,143154.9137
318,148160.2596
319,159075.3795
320,140892.9559
321,148431.9176
322,152029.4492
323,158233.3378
324,154770.927
325,140438.6034
326,133905.5977
327,123566.963
328,118311.2322
329,134782.0916
330,118293.6244
331,147505.3842
332,133497.2172
333,124162.1927
334,129812.3323
335,122018.8838
336,117348.4458
337,126238.2851
338,153028.5132
339,143952.0978
340,136572.3078
341,143070.6074
342,146147.4226
343,135835.9957
344,124499.5964
345,157237.6335
346,147820.8099
347,126250.3
348,110170.2804
349,100531.51
350,101004.7855
351,73729.11249
352,123917.6772
353,108014.3059
354,129404.9177
355,144452.1555
356,152363.3869
357,123063.5102
358,100406.4197
359,114825.4917
360,118412.4359
361,103083.2979
362,122238.2972
363,99832.14389
364,118959.3676
