Year,Month,Day,Hour,PNW
2010,1,1,0,15160.53984
2010,1,1,1,14686.09284
2010,1,1,2,14437.49292
2010,1,1,3,14488.79501
2010,1,1,4,14859.92299
2010,1,1,5,15853.67652
2010,1,1,6,17765.61858
2010,1,1,7,19059.04242
2010,1,1,8,19213.43952
2010,1,1,9,19143.19241
2010,1,1,10,18907.1027
2010,1,1,11,18842.26963
2010,1,1,12,18702.87409
2010,1,1,13,18514.44489
2010,1,1,14,18080.75325
2010,1,1,15,18460.03405
2010,1,1,16,19826.47273
2010,1,1,17,21023.65977
2010,1,1,18,20932.5479
2010,1,1,19,20375.83175
2010,1,1,20,19605.31021
2010,1,1,21,18278.03565
2010,1,1,22,16732.13004
2010,1,1,23,15476.1548
2010,1,2,0,14638.27029
2010,1,2,1,14201.38094
2010,1,2,2,14030.62664
2010,1,2,3,14003.28404
2010,1,2,4,14273.22369
2010,1,2,5,15095.91984
2010,1,2,6,16879.28408
2010,1,2,7,18162.74577
2010,1,2,8,18641.83171
2010,1,2,9,18790.46458
2010,1,2,10,18666.49079
2010,1,2,11,18390.70854
2010,1,2,12,17906.21415
2010,1,2,13,17458.50764
2010,1,2,14,17122.28157
2010,1,2,15,17319.50115
2010,1,2,16,18615.43934
2010,1,2,17,20242.07593
2010,1,2,18,20204.78558
2010,1,2,19,19837.36168
2010,1,2,20,19218.23301
2010,1,2,21,18156.76568
2010,1,2,22,16641.47655
2010,1,2,23,15460.99218
2010,1,3,0,14729.98482
2010,1,3,1,14347.12025
2010,1,3,2,14280.60419
2010,1,3,3,14387.15825
2010,1,3,4,14719.19585
2010,1,3,5,15693.49046
2010,1,3,6,17611.97223
2010,1,3,7,19105.23051
2010,1,3,8,19849.05055
2010,1,3,9,19879.46286
2010,1,3,10,19613.29927
2010,1,3,11,19073.41614
2010,1,3,12,18502.33801
2010,1,3,13,18230.25752
2010,1,3,14,17901.7974
2010,1,3,15,18198.09867
2010,1,3,16,19526.63613
2010,1,3,17,21196.36919
2010,1,3,18,21244.6262
2010,1,3,19,20969.28501
2010,1,3,20,20189.93445
2010,1,3,21,18687.97693
2010,1,3,22,16848.06885
2010,1,3,23,15413.58268
2010,1,4,0,14668.08508
2010,1,4,1,14402.80278
2010,1,4,2,14344.01359
2010,1,4,3,14587.48013
2010,1,4,4,15299.73374
2010,1,4,5,17144.91249
2010,1,4,6,20308.61011
2010,1,4,7,21901.4151
2010,1,4,8,21487.48646
2010,1,4,9,21003.27523
2010,1,4,10,20794.51821
2010,1,4,11,20595.02419
2010,1,4,12,20350.92903
2010,1,4,13,20173.97441
2010,1,4,14,19901.81691
2010,1,4,15,20109.23909
2010,1,4,16,21071.09107
2010,1,4,17,22003.1688
2010,1,4,18,21705.5237
2010,1,4,19,20954.30691
2010,1,4,20,19903.86014
2010,1,4,21,18294.14584
2010,1,4,22,16525.45127
2010,1,4,23,15186.35841
2010,1,5,0,14305.44852
2010,1,5,1,13854.52463
2010,1,5,2,13684.37916
2010,1,5,3,13765.62792
2010,1,5,4,14327.05353
2010,1,5,5,15966.09688
2010,1,5,6,18665.11628
2010,1,5,7,20324.91559
2010,1,5,8,19905.03879
2010,1,5,9,19431.10435
2010,1,5,10,19179.10546
2010,1,5,11,19136.01576
2010,1,5,12,18942.45464
2010,1,5,13,18719.0954
2010,1,5,14,18598.90842
2010,1,5,15,18888.85578
2010,1,5,16,20140.32423
2010,1,5,17,21282.35813
2010,1,5,18,21130.92327
2010,1,5,19,20500.51492
2010,1,5,20,19630.72693
2010,1,5,21,18337.67439
2010,1,5,22,16930.79493
2010,1,5,23,15758.94059
2010,1,6,0,14451.40344
2010,1,6,1,14045.69274
2010,1,6,2,13810.62308
2010,1,6,3,13687.43156
2010,1,6,4,13911.53458
2010,1,6,5,14686.2774
2010,1,6,6,16017.48884
2010,1,6,7,16969.41872
2010,1,6,8,17115.24239
2010,1,6,9,17253.97764
2010,1,6,10,17360.70918
2010,1,6,11,17500.39817
2010,1,6,12,17533.32313
2010,1,6,13,17435.91114
2010,1,6,14,17320.22623
2010,1,6,15,17609.97068
2010,1,6,16,18626.28453
2010,1,6,17,20070.27104
2010,1,6,18,20158.6073
2010,1,6,19,19828.00641
2010,1,6,20,19314.42443
2010,1,6,21,18549.58795
2010,1,6,22,17342.14571
2010,1,6,23,16231.51684
2010,1,7,0,15540.92353
2010,1,7,1,15253.82347
2010,1,7,2,15280.87071
2010,1,7,3,15512.1013
2010,1,7,4,16091.04444
2010,1,7,5,17323.76406
2010,1,7,6,18989.97173
2010,1,7,7,20231.07843
2010,1,7,8,20438.07085
2010,1,7,9,20475.98091
2010,1,7,10,20143.10658
2010,1,7,11,19510.80308
2010,1,7,12,19002.27653
2010,1,7,13,18670.44713
2010,1,7,14,18641.36001
2010,1,7,15,18962.95491
2010,1,7,16,20288.05656
2010,1,7,17,22147.48852
2010,1,7,18,22340.4244
2010,1,7,19,21953.30101
2010,1,7,20,21108.76048
2010,1,7,21,19866.63413
2010,1,7,22,18254.92831
2010,1,7,23,16934.24483
2010,1,8,0,16208.75768
2010,1,8,1,15922.52883
2010,1,8,2,15920.18516
2010,1,8,3,16163.23299
2010,1,8,4,16913.57301
2010,1,8,5,18557.47767
2010,1,8,6,21652.70317
2010,1,8,7,23344.92003
2010,1,8,8,23052.92474
2010,1,8,9,22362.44321
2010,1,8,10,21913.49908
2010,1,8,11,21351.03513
2010,1,8,12,20866.60368
2010,1,8,13,20348.3343
2010,1,8,14,19991.5183
2010,1,8,15,20380.33481
2010,1,8,16,21959.64274
