Year,Month,Day,Hour,PNW
2011,1,1,0,18870.40734
2011,1,1,1,18678.25617
2011,1,1,2,18863.27159
2011,1,1,3,19134.70716
2011,1,1,4,19767.46386
2011,1,1,5,21062.29935
2011,1,1,6,23685.96467
2011,1,1,7,25400.85921
2011,1,1,8,25421.29117
2011,1,1,9,24838.31647
2011,1,1,10,24135.69163
2011,1,1,11,23178.77381
2011,1,1,12,22249.48426
2011,1,1,13,21341.02604
2011,1,1,14,20846.84104
2011,1,1,15,21103.99293
2011,1,1,16,22691.08914
2011,1,1,17,24792.76703
2011,1,1,18,25045.29952
2011,1,1,19,24737.2752
2011,1,1,20,24027.11288
2011,1,1,21,22561.89416
2011,1,1,22,20687.35367
2011,1,1,23,19315.3064
2011,1,2,0,18638.33459
2011,1,2,1,18389.08816
2011,1,2,2,18527.8673
2011,1,2,3,18780.01015
2011,1,2,4,19356.96915
2011,1,2,5,20698.89792
2011,1,2,6,23549.89627
2011,1,2,7,25459.60154
2011,1,2,8,25674.48634
2011,1,2,9,25019.87564
2011,1,2,10,23863.02803
2011,1,2,11,22656.57903
2011,1,2,12,21746.09064
2011,1,2,13,20973.62079
2011,1,2,14,20413.56002
2011,1,2,15,20842.44374
2011,1,2,16,22969.14819
2011,1,2,17,25497.04956
2011,1,2,18,25831.25019
2011,1,2,19,25735.4808
2011,1,2,20,25157.90333
2011,1,2,21,23551.50291
2011,1,2,22,21321.01628
2011,1,2,23,19816.14192
2011,1,3,0,19304.24024
2011,1,3,1,19199.02421
2011,1,3,2,19558.00061
2011,1,3,3,20169.91927
2011,1,3,4,21327.44602
2011,1,3,5,23694.23071
2011,1,3,6,27768.21231
2011,1,3,7,29610.61924
2011,1,3,8,28755.94273
2011,1,3,9,27353.14448
2011,1,3,10,25885.76796
2011,1,3,11,24367.26409
2011,1,3,12,22983.20947
2011,1,3,13,21917.37959
2011,1,3,14,21605.98936
2011,1,3,15,21884.48029
2011,1,3,16,23757.19726
2011,1,3,17,26353.6868
2011,1,3,18,26862.14667
2011,1,3,19,26644.21055
2011,1,3,20,25839.65856
2011,1,3,21,23966.68248
2011,1,3,22,21686.68098
2011,1,3,23,20199.22929
2011,1,4,0,19559.26772
2011,1,4,1,19580.32815
2011,1,4,2,19743.27493
2011,1,4,3,20044.9418
2011,1,4,4,20872.49005
2011,1,4,5,22877.13959
2011,1,4,6,26351.37411
2011,1,4,7,27935.98965
2011,1,4,8,27126.26842
2011,1,4,9,26139.39695
2011,1,4,10,25334.67118
2011,1,4,11,24394.6206
2011,1,4,12,23647.73542
2011,1,4,13,22968.46445
2011,1,4,14,22761.0437
2011,1,4,15,23161.5284
2011,1,4,16,24584.34663
2011,1,4,17,26016.86673
2011,1,4,18,25834.65578
2011,1,4,19,25075.95936
2011,1,4,20,24063.73977
2011,1,4,21,22077.53166
2011,1,4,22,20017.90711
2011,1,4,23,18579.59202
2011,1,5,0,17626.00702
2011,1,5,1,17450.66885
2011,1,5,2,17423.71517
2011,1,5,3,17644.93158
2011,1,5,4,18345.92869
2011,1,5,5,20090.00353
2011,1,5,6,23206.62255
2011,1,5,7,24972.48229
2011,1,5,8,24410.71215
2011,1,5,9,23598.82149
2011,1,5,10,23087.12538
2011,1,5,11,22881.17876
2011,1,5,12,22774.45657
2011,1,5,13,22467.38496
2011,1,5,14,22321.19055
2011,1,5,15,22421.45718
2011,1,5,16,23520.6102
2011,1,5,17,24446.8956
2011,1,5,18,23955.5941
2011,1,5,19,23042.15757
2011,1,5,20,21977.83115
2011,1,5,21,20313.64634
2011,1,5,22,18665.42976
2011,1,5,23,17359.87931
2011,1,6,0,16022.83221
2011,1,6,1,15623.96626
2011,1,6,2,15339.94383
2011,1,6,3,15365.13671
2011,1,6,4,15723.82137
2011,1,6,5,16553.88304
2011,1,6,6,17983.85125
2011,1,6,7,18763.25991
2011,1,6,8,18932.74224
2011,1,6,9,19115.95932
2011,1,6,10,19198.46979
2011,1,6,11,19117.73915
2011,1,6,12,18900.5703
2011,1,6,13,18632.64917
2011,1,6,14,18448.16416
2011,1,6,15,18472.25596
2011,1,6,16,19385.99772
2011,1,6,17,20471.81468
2011,1,6,18,20393.16684
2011,1,6,19,19916.29166
2011,1,6,20,19326.66408
2011,1,6,21,18404.57594
2011,1,6,22,17201.25105
2011,1,6,23,16116.56351
2011,1,7,0,15315.39406
2011,1,7,1,14954.50138
2011,1,7,2,14803.36435
2011,1,7,3,14910.41987
2011,1,7,4,15361.38114
2011,1,7,5,16236.45346
2011,1,7,6,17649.12065
2011,1,7,7,18779.49198
2011,1,7,8,19105.04757
2011,1,7,9,19325.31014
2011,1,7,10,19310.21058
2011,1,7,11,19149.6842
2011,1,7,12,18924.51796
2011,1,7,13,18730.73651
2011,1,7,14,18498.75128
2011,1,7,15,18622.66127
2011,1,7,16,19872.93951
2011,1,7,17,21524.5621
2011,1,7,18,21556.18893
2011,1,7,19,21107.362
2011,1,7,20,20519.78839
2011,1,7,21,19666.92428
2011,1,7,22,18390.08429
2011,1,7,23,17426.5673
2011,1,8,0,16702.78544
2011,1,8,1,16434.49665
2011,1,8,2,16459.95669
2011,1,8,3,16744.83863
2011,1,8,4,17301.24384
2011,1,8,5,18371.87168
2011,1,8,6,20439.88142
2011,1,8,7,22228.27856
2011,1,8,8,22935.58387
2011,1,8,9,22930.34916
2011,1,8,10,22433.2294
2011,1,8,11,21678.6599
2011,1,8,12,20897.95834
2011,1,8,13,20282.21695
2011,1,8,14,19736.22901
2011,1,8,15,19913.00228
2011,1,8,16,21254.88013
2011,1,8,17,23313.76067
2011,1,8,18,23509.54414
2011,1,8,19,23107.81892
2011,1,8,20,22510.75014
2011,1,8,21,21277.61809
2011,1,8,22,19677.56839
2011,1,8,23,18471.1876
2011,1,9,0,17884.83363
2011,1,9,1,17770.3334
2011,1,9,2,17932.93604
2011,1,9,3,18132.47139
2011,1,9,4,18595.36241
2011,1,9,5,19599.52401
2011,1,9,6,21784.23124
