,Generator,Time,Value,Zones,Type
0,SLACK,1,0,PNW,Slack
1,SLACK,2,0,PNW,Slack
2,SLACK,3,0,PNW,Slack
3,SLACK,4,0,PNW,Slack
4,SLACK,5,0,PNW,Slack
5,SLACK,6,0,PNW,Slack
6,SLACK,7,0,PNW,Slack
7,SLACK,8,0,PNW,Slack
8,SLACK,9,0,PNW,Slack
9,SLACK,10,0,PNW,Slack
10,SLACK,11,0,PNW,Slack
11,SLACK,12,0,PNW,Slack
12,SLACK,13,0,PNW,Slack
13,SLACK,14,0,PNW,Slack
14,SLACK,15,0,PNW,Slack
15,SLACK,16,0,PNW,Slack
16,SLACK,17,0,PNW,Slack
17,SLACK,18,0,PNW,Slack
18,SLACK,19,0,PNW,Slack
19,SLACK,20,0,PNW,Slack
20,SLACK,21,0,PNW,Slack
21,SLACK,22,0,PNW,Slack
22,SLACK,23,0,PNW,Slack
23,SLACK,24,0,PNW,Slack
24,GRAYS_HARBOR_ST1,1,0,PNW,Gas
25,GRAYS_HARBOR_ST1,2,0,PNW,Gas
26,GRAYS_HARBOR_ST1,3,0,PNW,Gas
27,GRAYS_HARBOR_ST1,4,0,PNW,Gas
28,GRAYS_HARBOR_ST1,5,0,PNW,Gas
29,GRAYS_HARBOR_ST1,6,0,PNW,Gas
30,GRAYS_HARBOR_ST1,7,0,PNW,Gas
31,GRAYS_HARBOR_ST1,8,0,PNW,Gas
32,GRAYS_HARBOR_ST1,9,0,PNW,Gas
33,GRAYS_HARBOR_ST1,10,0,PNW,Gas
34,GRAYS_HARBOR_ST1,11,0,PNW,Gas
35,GRAYS_HARBOR_ST1,12,0,PNW,Gas
36,GRAYS_HARBOR_ST1,13,0,PNW,Gas
37,GRAYS_HARBOR_ST1,14,0,PNW,Gas
38,GRAYS_HARBOR_ST1,15,0,PNW,Gas
39,GRAYS_HARBOR_ST1,16,0,PNW,Gas
40,GRAYS_HARBOR_ST1,17,0,PNW,Gas
41,GRAYS_HARBOR_ST1,18,0,PNW,Gas
42,GRAYS_HARBOR_ST1,19,0,PNW,Gas
43,GRAYS_HARBOR_ST1,20,0,PNW,Gas
44,GRAYS_HARBOR_ST1,21,0,PNW,Gas
45,GRAYS_HARBOR_ST1,22,0,PNW,Gas
46,GRAYS_HARBOR_ST1,23,0,PNW,Gas
47,GRAYS_HARBOR_ST1,24,0,PNW,Gas
48,FREDERICKSON_PWR_FIST,1,0,PNW,Gas
49,FREDERICKSON_PWR_FIST,2,0,PNW,Gas
50,FREDERICKSON_PWR_FIST,3,0,PNW,Gas
51,FREDERICKSON_PWR_FIST,4,0,PNW,Gas
52,FREDERICKSON_PWR_FIST,5,0,PNW,Gas
53,FREDERICKSON_PWR_FIST,6,0,PNW,Gas
54,FREDERICKSON_PWR_FIST,7,0,PNW,Gas
55,FREDERICKSON_PWR_FIST,8,0,PNW,Gas
56,FREDERICKSON_PWR_FIST,9,0,PNW,Gas
57,FREDERICKSON_PWR_FIST,10,0,PNW,Gas
58,FREDERICKSON_PWR_FIST,11,0,PNW,Gas
59,FREDERICKSON_PWR_FIST,12,0,PNW,Gas
60,FREDERICKSON_PWR_FIST,13,0,PNW,Gas
61,FREDERICKSON_PWR_FIST,14,0,PNW,Gas
62,FREDERICKSON_PWR_FIST,15,0,PNW,Gas
63,FREDERICKSON_PWR_FIST,16,0,PNW,Gas
64,FREDERICKSON_PWR_FIST,17,0,PNW,Gas
65,FREDERICKSON_PWR_FIST,18,0,PNW,Gas
66,FREDERICKSON_PWR_FIST,19,0,PNW,Gas
67,FREDERICKSON_PWR_FIST,20,0,PNW,Gas
68,FREDERICKSON_PWR_FIST,21,0,PNW,Gas
69,FREDERICKSON_PWR_FIST,22,0,PNW,Gas
70,FREDERICKSON_PWR_FIST,23,0,PNW,Gas
71,FREDERICKSON_PWR_FIST,24,0,PNW,Gas
72,COYOTE_SPRINGS_2_GEN_2,1,0,PNW,Gas
73,COYOTE_SPRINGS_2_GEN_2,2,0,PNW,Gas
74,COYOTE_SPRINGS_2_GEN_2,3,0,PNW,Gas
75,COYOTE_SPRINGS_2_GEN_2,4,0,PNW,Gas
76,COYOTE_SPRINGS_2_GEN_2,5,0,PNW,Gas
77,COYOTE_SPRINGS_2_GEN_2,6,0,PNW,Gas
78,COYOTE_SPRINGS_2_GEN_2,7,0,PNW,Gas
79,COYOTE_SPRINGS_2_GEN_2,8,0,PNW,Gas
80,COYOTE_SPRINGS_2_GEN_2,9,0,PNW,Gas
81,COYOTE_SPRINGS_2_GEN_2,10,0,PNW,Gas
82,COYOTE_SPRINGS_2_GEN_2,11,0,PNW,Gas
83,COYOTE_SPRINGS_2_GEN_2,12,0,PNW,Gas
84,COYOTE_SPRINGS_2_GEN_2,13,0,PNW,Gas
85,COYOTE_SPRINGS_2_GEN_2,14,0,PNW,Gas
86,COYOTE_SPRINGS_2_GEN_2,15,0,PNW,Gas
87,COYOTE_SPRINGS_2_GEN_2,16,0,PNW,Gas
88,COYOTE_SPRINGS_2_GEN_2,17,0,PNW,Gas
89,COYOTE_SPRINGS_2_GEN_2,18,0,PNW,Gas
90,COYOTE_SPRINGS_2_GEN_2,19,0,PNW,Gas
91,COYOTE_SPRINGS_2_GEN_2,20,0,PNW,Gas
92,COYOTE_SPRINGS_2_GEN_2,21,0,PNW,Gas
93,COYOTE_SPRINGS_2_GEN_2,22,0,PNW,Gas
94,COYOTE_SPRINGS_2_GEN_2,23,0,PNW,Gas
95,COYOTE_SPRINGS_2_GEN_2,24,0,PNW,Gas
96,COYOTE_SPRINGS_2_GEN_1,1,0,PNW,Gas
97,COYOTE_SPRINGS_2_GEN_1,2,0,PNW,Gas
98,COYOTE_SPRINGS_2_GEN_1,3,0,PNW,Gas
99,COYOTE_SPRINGS_2_GEN_1,4,0,PNW,Gas
100,COYOTE_SPRINGS_2_GEN_1,5,0,PNW,Gas
101,COYOTE_SPRINGS_2_GEN_1,6,0,PNW,Gas
102,COYOTE_SPRINGS_2_GEN_1,7,0,PNW,Gas
103,COYOTE_SPRINGS_2_GEN_1,8,0,PNW,Gas
104,COYOTE_SPRINGS_2_GEN_1,9,0,PNW,Gas
105,COYOTE_SPRINGS_2_GEN_1,10,0,PNW,Gas
106,COYOTE_SPRINGS_2_GEN_1,11,0,PNW,Gas
107,COYOTE_SPRINGS_2_GEN_1,12,0,PNW,Gas
108,COYOTE_SPRINGS_2_GEN_1,13,0,PNW,Gas
109,COYOTE_SPRINGS_2_GEN_1,14,0,PNW,Gas
110,COYOTE_SPRINGS_2_GEN_1,15,0,PNW,Gas
111,COYOTE_SPRINGS_2_GEN_1,16,0,PNW,Gas
112,COYOTE_SPRINGS_2_GEN_1,17,0,PNW,Gas
113,COYOTE_SPRINGS_2_GEN_1,18,0,PNW,Gas
114,COYOTE_SPRINGS_2_GEN_1,19,0,PNW,Gas
115,COYOTE_SPRINGS_2_GEN_1,20,0,PNW,Gas
116,COYOTE_SPRINGS_2_GEN_1,21,0,PNW,Gas
117,COYOTE_SPRINGS_2_GEN_1,22,0,PNW,Gas
118,COYOTE_SPRINGS_2_GEN_1,23,0,PNW,Gas
119,COYOTE_SPRINGS_2_GEN_1,24,0,PNW,Gas
120,PORT_WESTWARD_1_GEN_1,1,0,PNW,Gas
121,PORT_WESTWARD_1_GEN_1,2,0,PNW,Gas
122,PORT_WESTWARD_1_GEN_1,3,0,PNW,Gas
123,PORT_WESTWARD_1_GEN_1,4,0,PNW,Gas
124,PORT_WESTWARD_1_GEN_1,5,0,PNW,Gas
125,PORT_WESTWARD_1_GEN_1,6,0,PNW,Gas
126,PORT_WESTWARD_1_GEN_1,7,0,PNW,Gas
127,PORT_WESTWARD_1_GEN_1,8,0,PNW,Gas
128,PORT_WESTWARD_1_GEN_1,9,0,PNW,Gas
129,PORT_WESTWARD_1_GEN_1,10,0,PNW,Gas
130,PORT_WESTWARD_1_GEN_1,11,0,PNW,Gas
131,PORT_WESTWARD_1_GEN_1,12,0,PNW,Gas
132,PORT_WESTWARD_1_GEN_1,13,0,PNW,Gas
133,PORT_WESTWARD_1_GEN_1,14,0,PNW,Gas
134,PORT_WESTWARD_1_GEN_1,15,0,PNW,Gas
135,PORT_WESTWARD_1_GEN_1,16,0,PNW,Gas
136,PORT_WESTWARD_1_GEN_1,17,0,PNW,Gas
137,PORT_WESTWARD_1_GEN_1,18,0,PNW,Gas
138,PORT_WESTWARD_1_GEN_1,19,0,PNW,Gas
139,PORT_WESTWARD_1_GEN_1,20,0,PNW,Gas
140,PORT_WESTWARD_1_GEN_1,21,0,PNW,Gas
141,PORT_WESTWARD_1_GEN_1,22,0,PNW,Gas
142,PORT_WESTWARD_1_GEN_1,23,0,PNW,Gas
143,PORT_WESTWARD_1_GEN_1,24,0,PNW,Gas
144,PORT_WESTWARD_1_GEN_2,1,0,PNW,Gas
145,PORT_WESTWARD_1_GEN_2,2,0,PNW,Gas
146,PORT_WESTWARD_1_GEN_2,3,0,PNW,Gas
147,PORT_WESTWARD_1_GEN_2,4,0,PNW,Gas
148,PORT_WESTWARD_1_GEN_2,5,0,PNW,Gas
149,PORT_WESTWARD_1_GEN_2,6,0,PNW,Gas
150,PORT_WESTWARD_1_GEN_2,7,0,PNW,Gas
151,PORT_WESTWARD_1_GEN_2,8,0,PNW,Gas
152,PORT_WESTWARD_1_GEN_2,9,0,PNW,Gas
153,PORT_WESTWARD_1_GEN_2,10,0,PNW,Gas
154,PORT_WESTWARD_1_GEN_2,11,0,PNW,Gas
155,PORT_WESTWARD_1_GEN_2,12,0,PNW,Gas
156,PORT_WESTWARD_1_GEN_2,13,0,PNW,Gas
157,PORT_WESTWARD_1_GEN_2,14,0,PNW,Gas
158,PORT_WESTWARD_1_GEN_2,15,0,PNW,Gas
159,PORT_WESTWARD_1_GEN_2,16,0,PNW,Gas
160,PORT_WESTWARD_1_GEN_2,17,0,PNW,Gas
161,PORT_WESTWARD_1_GEN_2,18,0,PNW,Gas
162,PORT_WESTWARD_1_GEN_2,19,0,PNW,Gas
163,PORT_WESTWARD_1_GEN_2,20,0,PNW,Gas
164,PORT_WESTWARD_1_GEN_2,21,0,PNW,Gas
165,PORT_WESTWARD_1_GEN_2,22,0,PNW,Gas
166,PORT_WESTWARD_1_GEN_2,23,0,PNW,Gas
167,PORT_WESTWARD_1_GEN_2,24,0,PNW,Gas
168,ALDEN_BAILEY_LOKI,1,0,PNW,Gas
169,ALDEN_BAILEY_LOKI,2,0,PNW,Gas
170,ALDEN_BAILEY_LOKI,3,0,PNW,Gas
171,ALDEN_BAILEY_LOKI,4,0,PNW,Gas
172,ALDEN_BAILEY_LOKI,5,0,PNW,Gas
