,Generator,Time,Value,Zones
0,SLACK,1,0,PNW
1,SLACK,2,0,PNW
2,SLACK,3,0,PNW
3,SLACK,4,0,PNW
4,SLACK,5,0,PNW
5,SLACK,6,0,PNW
6,SLACK,7,0,PNW
7,SLACK,8,0,PNW
8,SLACK,9,0,PNW
9,SLACK,10,0,PNW
10,SLACK,11,0,PNW
11,SLACK,12,0,PNW
12,SLACK,13,0,PNW
13,SLACK,14,0,PNW
14,SLACK,15,0,PNW
15,SLACK,16,0,PNW
16,SLACK,17,0,PNW
17,SLACK,18,0,PNW
18,SLACK,19,0,PNW
19,SLACK,20,0,PNW
20,SLACK,21,0,PNW
21,SLACK,22,0,PNW
22,SLACK,23,0,PNW
23,SLACK,24,0,PNW
24,P8I,1,0,PNW
25,P8I,2,0,PNW
26,P8I,3,0,PNW
27,P8I,4,0,PNW
28,P8I,5,0,PNW
29,P8I,6,0,PNW
30,P8I,7,0,PNW
31,P8I,8,0,PNW
32,P8I,9,0,PNW
33,P8I,10,0,PNW
34,P8I,11,0,PNW
35,P8I,12,0,PNW
36,P8I,13,0,PNW
37,P8I,14,0,PNW
38,P8I,15,0,PNW
39,P8I,16,0,PNW
40,P8I,17,0,PNW
41,P8I,18,0,PNW
42,P8I,19,0,PNW
43,P8I,20,0,PNW
44,P8I,21,0,PNW
45,P8I,22,0,PNW
46,P8I,23,0,PNW
47,P8I,24,0,PNW
48,GRAYS_HARBOR_ST1,1,0,PNW
49,GRAYS_HARBOR_ST1,2,0,PNW
50,GRAYS_HARBOR_ST1,3,0,PNW
51,GRAYS_HARBOR_ST1,4,0,PNW
52,GRAYS_HARBOR_ST1,5,0,PNW
53,GRAYS_HARBOR_ST1,6,0,PNW
54,GRAYS_HARBOR_ST1,7,0,PNW
55,GRAYS_HARBOR_ST1,8,0,PNW
56,GRAYS_HARBOR_ST1,9,0,PNW
57,GRAYS_HARBOR_ST1,10,0,PNW
58,GRAYS_HARBOR_ST1,11,0,PNW
59,GRAYS_HARBOR_ST1,12,0,PNW
60,GRAYS_HARBOR_ST1,13,0,PNW
61,GRAYS_HARBOR_ST1,14,0,PNW
62,GRAYS_HARBOR_ST1,15,0,PNW
63,GRAYS_HARBOR_ST1,16,0,PNW
64,GRAYS_HARBOR_ST1,17,0,PNW
65,GRAYS_HARBOR_ST1,18,0,PNW
66,GRAYS_HARBOR_ST1,19,0,PNW
67,GRAYS_HARBOR_ST1,20,0,PNW
68,GRAYS_HARBOR_ST1,21,0,PNW
69,GRAYS_HARBOR_ST1,22,0,PNW
70,GRAYS_HARBOR_ST1,23,0,PNW
