Year,Month,Day,Hour,reserves
2011,1,1,0,754.8162936
2011,1,1,1,747.1302468
2011,1,1,2,754.5308636
2011,1,1,3,765.3882864
2011,1,1,4,790.6985544
2011,1,1,5,842.491974
2011,1,1,6,947.4385868
2011,1,1,7,1016.034368
2011,1,1,8,1016.851647
2011,1,1,9,993.5326588
2011,1,1,10,965.4276652
2011,1,1,11,927.1509524
2011,1,1,12,889.9793704
2011,1,1,13,853.6410416
2011,1,1,14,833.8736416
2011,1,1,15,844.1597172
2011,1,1,16,907.6435656
2011,1,1,17,991.7106812
2011,1,1,18,1001.811981
2011,1,1,19,989.491008
2011,1,1,20,961.0845152
2011,1,1,21,902.4757664
2011,1,1,22,827.4941468
2011,1,1,23,772.612256
2011,1,2,0,745.5333836
2011,1,2,1,735.5635264
2011,1,2,2,741.114692
2011,1,2,3,751.200406
2011,1,2,4,774.278766
2011,1,2,5,827.9559168
2011,1,2,6,941.9958508
2011,1,2,7,1018.384062
2011,1,2,8,1026.979454
2011,1,2,9,1000.795026
2011,1,2,10,954.5211212
2011,1,2,11,906.2631612
2011,1,2,12,869.8436256
2011,1,2,13,838.9448316
2011,1,2,14,816.5424008
2011,1,2,15,833.6977496
2011,1,2,16,918.7659276
2011,1,2,17,1019.881982
2011,1,2,18,1033.250008
2011,1,2,19,1029.419232
2011,1,2,20,1006.316133
2011,1,2,21,942.0601164
2011,1,2,22,852.8406512
2011,1,2,23,792.6456768
2011,1,3,0,772.1696096
2011,1,3,1,767.9609684
2011,1,3,2,782.3200244
2011,1,3,3,806.7967708
2011,1,3,4,853.0978408
2011,1,3,5,947.7692284
2011,1,3,6,1110.728492
2011,1,3,7,1184.42477
2011,1,3,8,1150.237709
2011,1,3,9,1094.125779
2011,1,3,10,1035.430718
2011,1,3,11,974.6905636
2011,1,3,12,919.3283788
2011,1,3,13,876.6951836
2011,1,3,14,864.2395744
2011,1,3,15,875.3792116
2011,1,3,16,950.2878904
2011,1,3,17,1054.147472
2011,1,3,18,1074.485867
2011,1,3,19,1065.768422
2011,1,3,20,1033.586342
2011,1,3,21,958.6672992
2011,1,3,22,867.4672392
2011,1,3,23,807.9691716
2011,1,4,0,782.3707088
2011,1,4,1,783.213126
2011,1,4,2,789.7309972
2011,1,4,3,801.797672
2011,1,4,4,834.899602
2011,1,4,5,915.0855836
2011,1,4,6,1054.054964
2011,1,4,7,1117.439586
2011,1,4,8,1085.050737
2011,1,4,9,1045.575878
2011,1,4,10,1013.386847
