Year,Month,Day,Hour,Wind
2010,1,1,0,39.53550992
2010,1,1,1,73.58308786
2010,1,1,2,61.71123503
2010,1,1,3,74.81507259
2010,1,1,4,122.5264812
2010,1,1,5,166.5419355
2010,1,1,6,188.045669
2010,1,1,7,256.5888193
2010,1,1,8,460.874287
2010,1,1,9,512.0576525
2010,1,1,10,501.0817886
2010,1,1,11,917.2686295
2010,1,1,12,1254.160453
2010,1,1,13,1843.945142
2010,1,1,14,1648.283568
2010,1,1,15,1557.340695
2010,1,1,16,2028.742852
2010,1,1,17,2098.517987
2010,1,1,18,2281.859714
2010,1,1,19,2285.107674
2010,1,1,20,1958.743719
2010,1,1,21,1701.258911
2010,1,1,22,1488.34955
2010,1,1,23,1651.30753
2010,1,2,0,1648.171569
2010,1,2,1,1710.2188
2010,1,2,2,1793.545767
2010,1,2,3,1668.891312
2010,1,2,4,1357.759169
2010,1,2,5,1147.313778
2010,1,2,6,1142.497838
2010,1,2,7,1026.579275
2010,1,2,8,1052.898948
2010,1,2,9,913.2366795
2010,1,2,10,881.9890668
2010,1,2,11,1187.521279
2010,1,2,12,1202.417095
2010,1,2,13,1169.041509
2010,1,2,14,1360.783132
2010,1,2,15,1430.446268
2010,1,2,16,1398.974658
2010,1,2,17,1256.736421
2010,1,2,18,1218.992889
2010,1,2,19,1162.881585
2010,1,2,20,1054.690926
2010,1,2,21,799.7820859
2010,1,2,22,424.4747382
2010,1,2,23,255.5808318
2010,1,3,0,204.8454607
2010,1,3,1,87.13491987
2010,1,3,2,19.37575982
2010,1,3,3,0
2010,1,3,4,0
2010,1,3,5,0
2010,1,3,6,0.335995835
2010,1,3,7,0
2010,1,3,8,2.01597501
2010,1,3,9,16.79979175
2010,1,3,10,25.31168624
2010,1,3,11,34.607571
2010,1,3,12,37.4075363
2010,1,3,13,87.58291432
2010,1,3,14,108.7506519
2010,1,3,15,156.014066
2010,1,3,16,197.4535524
2010,1,3,17,172.1418661
2010,1,3,18,113.5665922
2010,1,3,19,104.3827061
2010,1,3,20,107.6306658
2010,1,3,21,85.00694625
2010,1,3,22,77.72703649
2010,1,3,23,67.75916006
2010,1,4,0,43.45546133
2010,1,4,1,46.81541968
2010,1,4,2,24.9756904
2010,1,4,3,17.2477862
2010,1,4,4,9.519881991
