Year,Month,Day,Hour,PNW
2011,1,1,0,384.2298935
2011,1,1,1,272.9676256
2011,1,1,2,240.7166575
2011,1,1,3,314.7151121
2011,1,1,4,281.9707233
2011,1,1,5,202.258629
2011,1,1,6,132.293333
2011,1,1,7,54.1330017
2011,1,1,8,32.45834801
2011,1,1,9,15.01708101
2011,1,1,10,7.615805372
2011,1,1,11,5.041448626
2011,1,1,12,13.72990264
2011,1,1,13,30.16287995
2011,1,1,14,33.1448431
2011,1,1,15,47.31810696
2011,1,1,16,56.33550686
2011,1,1,17,94.39308066
2011,1,1,18,89.41599079
2011,1,1,19,72.57540708
2011,1,1,20,42.36962143
2011,1,1,21,57.38670245
2011,1,1,22,40.33158901
2011,1,1,23,15.23161074
2011,1,2,0,3.003416203
2011,1,2,1,3.003416203
2011,1,2,2,8.667001063
2011,1,2,3,53.52516733
2011,1,2,4,131.3136475
2011,1,2,5,169.0708789
2011,1,2,6,87.24924086
2011,1,2,7,20.42323014
2011,1,2,8,38.29355659
2011,1,2,9,44.72944845
2011,1,2,10,61.22678451
2011,1,2,11,46.45283737
2011,1,2,12,30.78501608
2011,1,2,13,76.47984831
2011,1,2,14,178.0596749
2011,1,2,15,138.1499953
2011,1,2,16,140.080762
2011,1,2,17,67.70558208
2011,1,2,18,21.73901245
2011,1,2,19,27.67433501
2011,1,2,20,35.61193498
2011,1,2,21,23.06194584
2011,1,2,22,10.40469185
2011,1,2,23,7.830335101
2011,1,3,0,9.546572931
2011,1,3,1,6.543156728
2011,1,3,2,7.508540507
2011,1,3,3,5.148713491
2011,1,3,4,3.968799982
2011,1,3,5,3.99025296
2011,1,3,6,4.290594576
2011,1,3,7,10.61922157
2011,1,3,8,10.51195671
2011,1,3,9,2.252562152
2011,1,3,10,0.429059458
2011,1,3,11,0
2011,1,3,12,0
2011,1,3,13,0
2011,1,3,14,0.214529729
2011,1,3,15,0.429059458
2011,1,3,16,44.17167118
2011,1,3,17,88.60077717
2011,1,3,18,111.0405881
2011,1,3,19,80.1268537
2011,1,3,20,32.93031337
2011,1,3,21,1.71623783
2011,1,3,22,0.750854051
2011,1,3,23,0
2011,1,4,0,0
2011,1,4,1,0
2011,1,4,2,0
2011,1,4,3,0.536324322
2011,1,4,4,0.643589186
2011,1,4,5,0.107264864
2011,1,4,6,8.581189151
2011,1,4,7,6.543156728
2011,1,4,8,3.110681067
2011,1,4,9,2.145297288
2011,1,4,10,5.470508084
2011,1,4,11,14.60947451
2011,1,4,12,11.58460535
2011,1,4,13,8.581189151
2011,1,4,14,10.08289725
2011,1,4,15,17.69870262
2011,1,4,16,45.15850791
2011,1,4,17,43.76406467
2011,1,4,18,66.93327538
2011,1,4,19,189.3439383
2011,1,4,20,321.3297777
2011,1,4,21,264.6367239
2011,1,4,22,494.0926116
2011,1,4,23,596.8799338
2011,1,5,0,531.6904785
2011,1,5,1,471.7651754
2011,1,5,2,445.6395423
2011,1,5,3,355.3327397
2011,1,5,4,210.3320973
2011,1,5,5,192.969491
2011,1,5,6,253.6098938
2011,1,5,7,168.362931
2011,1,5,8,119.4930589
2011,1,5,9,123.161517
2011,1,5,10,202.1942694
2011,1,5,11,239.5224422
2011,1,5,12,350.570182
2011,1,5,13,525.4905707
2011,1,5,14,735.8906022
2011,1,5,15,843.0382962
2011,1,5,16,959.4198557
2011,1,5,17,1129.963834
2011,1,5,18,1313.297367
2011,1,5,19,1337.834205
2011,1,5,20,1583.851553
2011,1,5,21,1516.103041
2011,1,5,22,1402.500607
2011,1,5,23,1390.646058
2011,1,6,0,1385.990761
2011,1,6,1,1452.258999
2011,1,6,2,1200.594173
2011,1,6,3,1207.964802
2011,1,6,4,1197.95546
2011,1,6,5,1138.93833
2011,1,6,6,1013.374082
2011,1,6,7,1007.116961
2011,1,6,8,1216.851956
2011,1,6,9,1049.926372
2011,1,6,10,1074.772487
2011,1,6,11,1074.257617
2011,1,6,12,981.9883858
2011,1,6,13,899.0603832
2011,1,6,14,767.9091642
2011,1,6,15,698.401532
2011,1,6,16,736.4948607
2011,1,6,17,689.713078
2011,1,6,18,526.2199704
2011,1,6,19,579.8273737
2011,1,6,20,546.2284455
2011,1,6,21,363.091566
2011,1,6,22,283.672661
2011,1,6,23,203.5458073
2011,1,7,0,140.9031257
2011,1,7,1,155.3195236
2011,1,7,2,214.3151991
2011,1,7,3,342.1749174
2011,1,7,4,620.777523
2011,1,7,5,1071.340018
